 threshold  accuracy  balanced_accuracy  normal_recall  abnormal_recall  normal_precision  abnormal_precision  macro_f1
      0.20  0.674069           0.680104       0.539292         0.820915          0.766411            0.620553  0.669954
      0.25  0.688771           0.692885       0.596881         0.788889          0.754932            0.642363  0.687396
      0.30  0.695652           0.697738       0.649070         0.746405          0.736054            0.661262  0.695545
      0.35  0.704098           0.704332       0.698860         0.709804          0.724052            0.683879  0.703917
      0.40  0.705349           0.704055       0.734253         0.673856          0.710389            0.699457  0.704271
      0.45  0.705974           0.703231       0.767247         0.639216          0.698525            0.715959  0.703345
      0.50  0.701282           0.697201       0.792442         0.601961          0.684456            0.726914  0.696532
      0.55  0.703472           0.698065       0.824235         0.571895          0.677181            0.749144  0.696068
      0.60  0.704723           0.697895       0.857229         0.538562          0.669321            0.775895  0.693756
      0.65  0.705349           0.697421       0.882424         0.512418          0.663509            0.800000  0.691084
      0.70  0.697529           0.688311       0.903419         0.473203          0.651384            0.818079  0.678280
